index	wnid	synset	name	lemmas
53	n01728920	ringneck_snake.n.01	ringneck snake	ringneck snake, ring-necked snake, ring snake
54	n01729322	hognose_snake.n.01	hognose snake	hognose snake, puff adder, sand viper
55	n01729977	green_snake.n.02	green snake	green snake, grass snake
56	n01734418	king_snake.n.01	king snake	king snake, kingsnake
57	n01735189	garter_snake.n.01	garter snake	garter snake, grass snake
58	n01737021	water_snake.n.01	water snake	water snake
59	n01739381	vine_snake.n.01	vine snake	vine snake
60	n01740131	night_snake.n.01	night snake	night snake, Hypsiglena torquata
61	n01742172	boa_constrictor.n.01	boa constrictor	boa constrictor, Constrictor constrictor
62	n01744401	rock_python.n.01	rock python	rock python, rock snake, Python sebae
63	n01748264	indian_cobra.n.01	Indian cobra	Indian cobra, Naja naja
64	n01749939	green_mamba.n.01	green mamba	green mamba
65	n01751748	sea_snake.n.01	sea snake	sea snake
66	n01753488	horned_viper.n.01	horned viper	horned viper, cerastes, sand viper, horned asp, Cerastes cornutus
67	n01755581	diamondback.n.01	diamondback	diamondback, diamondback rattlesnake, Crotalus adamanteus
68	n01756291	sidewinder.n.01	sidewinder	sidewinder, horned rattlesnake, Crotalus cerastes
69	n01768244	trilobite.n.01	trilobite	trilobite
70	n01770081	harvestman.n.01	harvestman	harvestman, daddy longlegs, Phalangium opilio
71	n01770393	scorpion.n.03	scorpion	scorpion
72	n01773157	black_and_gold_garden_spider.n.01	black and gold garden spider	black and gold garden spider, Argiope aurantia
73	n01773549	barn_spider.n.01	barn spider	barn spider, Araneus cavaticus
74	n01773797	garden_spider.n.01	garden spider	garden spider, Aranea diademata
75	n01774384	black_widow.n.01	black widow	black widow, Latrodectus mactans
76	n01774750	tarantula.n.02	tarantula	tarantula
77	n01775062	wolf_spider.n.01	wolf spider	wolf spider, hunting spider
78	n01776313	tick.n.02	tick	tick
79	n01784675	centipede.n.01	centipede	centipede
80	n01795545	black_grouse.n.01	black grouse	black grouse
81	n01796340	ptarmigan.n.01	ptarmigan	ptarmigan
82	n01797886	ruffed_grouse.n.01	ruffed grouse	ruffed grouse, partridge, Bonasa umbellus
83	n01798484	prairie_chicken.n.01	prairie chicken	prairie chicken, prairie grouse, prairie fowl
84	n01806143	peacock.n.02	peacock	peacock
85	n01806567	quail.n.02	quail	quail
86	n01807496	partridge.n.03	partridge	partridge
87	n01817953	african_grey.n.01	African grey	African grey, African gray, Psittacus erithacus
88	n01818515	macaw.n.01	macaw	macaw
89	n01819313	sulphur-crested_cockatoo.n.01	sulphur-crested cockatoo	sulphur-crested cockatoo, Kakatoe galerita, Cacatua galerita
90	n01820546	lorikeet.n.01	lorikeet	lorikeet
91	n01824575	coucal.n.01	coucal	coucal
92	n01828970	bee_eater.n.01	bee eater	bee eater
93	n01829413	hornbill.n.01	hornbill	hornbill
94	n01833805	hummingbird.n.01	hummingbird	hummingbird
95	n01843065	jacamar.n.01	jacamar	jacamar
96	n01843383	toucan.n.01	toucan	toucan
97	n01847000	drake.n.02	drake	drake
98	n01855032	red-breasted_merganser.n.01	red-breasted merganser	red-breasted merganser, Mergus serrator
99	n01855672	goose.n.01	goose	goose
100	n01860187	black_swan.n.01	black swan	black swan, Cygnus atratus
101	n01871265	tusker.n.01	tusker	tusker
102	n01872401	echidna.n.02	echidna	echidna, spiny anteater, anteater
103	n01873310	platypus.n.01	platypus	platypus, duckbill, duckbilled platypus, duck-billed platypus, Ornithorhynchus anatinus
104	n01877812	wallaby.n.01	wallaby	wallaby, brush kangaroo
105	n01882714	koala.n.01	koala	koala, koala bear, kangaroo bear, native bear, Phascolarctos cinereus
106	n01883070	wombat.n.01	wombat	wombat
107	n01910747	jellyfish.n.02	jellyfish	jellyfish
108	n01914609	sea_anemone.n.01	sea anemone	sea anemone, anemone
109	n01917289	brain_coral.n.01	brain coral	brain coral
110	n01924916	flatworm.n.01	flatworm	flatworm, platyhelminth
111	n01930112	nematode.n.01	nematode	nematode, nematode worm, roundworm
112	n01943899	conch.n.01	conch	conch
113	n01944390	snail.n.01	snail	snail
114	n01945685	slug.n.07	slug	slug
115	n01950731	sea_slug.n.01	sea slug	sea slug, nudibranch
116	n01955084	chiton.n.02	chiton	chiton, coat-of-mail shell, sea cradle, polyplacophore
117	n01968897	chambered_nautilus.n.01	chambered nautilus	chambered nautilus, pearly nautilus, nautilus
118	n01978287	dungeness_crab.n.02	Dungeness crab	Dungeness crab, Cancer magister
119	n01978455	rock_crab.n.01	rock crab	rock crab, Cancer irroratus
120	n01980166	fiddler_crab.n.01	fiddler crab	fiddler crab
121	n01981276	king_crab.n.03	king crab	king crab, Alaska crab, Alaskan king crab, Alaska king crab, Paralithodes camtschatica
122	n01983481	american_lobster.n.02	American lobster	American lobster, Northern lobster, Maine lobster, Homarus americanus
123	n01984695	spiny_lobster.n.02	spiny lobster	spiny lobster, langouste, rock lobster, crawfish, crayfish, sea crawfish
124	n01985128	crayfish.n.03	crayfish	crayfish, crawfish, crawdad, crawdaddy
125	n01986214	hermit_crab.n.01	hermit crab	hermit crab
126	n01990800	isopod.n.01	isopod	isopod
127	n02002556	white_stork.n.01	white stork	white stork, Ciconia ciconia
128	n02002724	black_stork.n.01	black stork	black stork, Ciconia nigra
129	n02006656	spoonbill.n.01	spoonbill	spoonbill
130	n02007558	flamingo.n.01	flamingo	flamingo
131	n02009229	little_blue_heron.n.01	little blue heron	little blue heron, Egretta caerulea
132	n02009912	american_egret.n.01	American egret	American egret, great white heron, Egretta albus
133	n02011460	bittern.n.01	bittern	bittern
134	n02012849	crane.n.05	crane (wading bird)	crane
135	n02013706	limpkin.n.01	limpkin	limpkin, Aramus pictus
136	n02017213	european_gallinule.n.01	European gallinule	European gallinule, Porphyrio porphyrio
137	n02018207	american_coot.n.01	American coot	American coot, marsh hen, mud hen, water hen, Fulica americana
138	n02018795	bustard.n.01	bustard	bustard
139	n02025239	ruddy_turnstone.n.01	ruddy turnstone	ruddy turnstone, Arenaria interpres
140	n02027492	red-backed_sandpiper.n.01	red-backed sandpiper	red-backed sandpiper, dunlin, Erolia alpina
141	n02028035	redshank.n.01	redshank	redshank, Tringa totanus
142	n02033041	dowitcher.n.01	dowitcher	dowitcher
143	n02037110	oystercatcher.n.01	oystercatcher	oystercatcher, oyster catcher
144	n02051845	pelican.n.01	pelican	pelican
145	n02056570	king_penguin.n.01	king penguin	king penguin, Aptenodytes patagonica
146	n02058221	albatross.n.02	albatross	albatross, mollymawk
147	n02066245	grey_whale.n.01	grey whale	grey whale, gray whale, devilfish, Eschrichtius gibbosus, Eschrichtius robustus
148	n02071294	killer_whale.n.01	killer whale	killer whale, killer, orca, grampus, sea wolf, Orcinus orca
149	n02074367	dugong.n.01	dugong	dugong, Dugong dugon
150	n02077923	sea_lion.n.01	sea lion	sea lion
151	n02085620	chihuahua.n.03	Chihuahua	Chihuahua
152	n02085782	japanese_spaniel.n.01	Japanese spaniel	Japanese spaniel
153	n02085936	maltese_dog.n.01	Maltese dog	Maltese dog, Maltese terrier, Maltese
154	n02086079	pekinese.n.01	Pekinese	Pekinese, Pekingese, Peke
155	n02086240	shih-tzu.n.01	Shih-Tzu	Shih-Tzu
156	n02086646	blenheim_spaniel.n.01	Blenheim spaniel	Blenheim spaniel
157	n02086910	papillon.n.01	papillon	papillon
158	n02087046	toy_terrier.n.01	toy terrier	toy terrier
159	n02087394	rhodesian_ridgeback.n.01	Rhodesian ridgeback	Rhodesian ridgeback
160	n02088094	afghan_hound.n.01	Afghan hound	Afghan hound, Afghan
161	n02088238	basset.n.01	basset	basset, basset hound
162	n02088364	beagle.n.01	beagle	beagle
163	n02088466	bloodhound.n.01	bloodhound	bloodhound, sleuthhound
164	n02088632	bluetick.n.01	bluetick	bluetick
165	n02089078	black-and-tan_coonhound.n.01	black-and-tan coonhound	black-and-tan coonhound
166	n02089867	walker_hound.n.01	Walker hound	Walker hound, Walker foxhound
167	n02089973	english_foxhound.n.01	English foxhound	English foxhound
168	n02090379	redbone.n.01	redbone	redbone
169	n02090622	borzoi.n.01	borzoi	borzoi, Russian wolfhound
170	n02090721	irish_wolfhound.n.01	Irish wolfhound	Irish wolfhound
171	n02091032	italian_greyhound.n.01	Italian greyhound	Italian greyhound
172	n02091134	whippet.n.01	whippet	whippet
173	n02091244	ibizan_hound.n.01	Ibizan hound	Ibizan hound, Ibizan Podenco
174	n02091467	norwegian_elkhound.n.01	Norwegian elkhound	Norwegian elkhound, elkhound
175	n02091635	otterhound.n.01	otterhound	otterhound, otter hound
176	n02091831	saluki.n.01	Saluki	Saluki, gazelle hound
177	n02092002	scottish_deerhound.n.01	Scottish deerhound	Scottish deerhound, deerhound
178	n02092339	weimaraner.n.01	Weimaraner	Weimaraner
179	n02093256	staffordshire_bullterrier.n.01	Staffordshire bullterrier	Staffordshire bullterrier, Staffordshire bull terrier
180	n02093428	american_staffordshire_terrier.n.01	American Staffordshire terrier	American Staffordshire terrier, Staffordshire terrier, American pit bull terrier, pit bull terrier
181	n02093647	bedlington_terrier.n.01	Bedlington terrier	Bedlington terrier
182	n02093754	border_terrier.n.01	Border terrier	Border terrier
183	n02093859	kerry_blue_terrier.n.01	Kerry blue terrier	Kerry blue terrier
184	n02093991	irish_terrier.n.01	Irish terrier	Irish terrier
185	n02094114	norfolk_terrier.n.01	Norfolk terrier	Norfolk terrier
186	n02094258	norwich_terrier.n.01	Norwich terrier	Norwich terrier
187	n02094433	yorkshire_terrier.n.01	Yorkshire terrier	Yorkshire terrier
188	n02095314	wire-haired_fox_terrier.n.01	wire-haired fox terrier	wire-haired fox terrier
189	n02095570	lakeland_terrier.n.01	Lakeland terrier	Lakeland terrier
190	n02095889	sealyham_terrier.n.01	Sealyham terrier	Sealyham terrier, Sealyham
191	n02096051	airedale.n.01	Airedale	Airedale, Airedale terrier
192	n02096177	cairn.n.02	cairn	cairn, cairn terrier
193	n02096294	australian_terrier.n.01	Australian terrier	Australian terrier
194	n02096437	dandie_dinmont.n.01	Dandie Dinmont	Dandie Dinmont, Dandie Dinmont terrier
195	n02096585	boston_bull.n.01	Boston bull	Boston bull, Boston terrier
196	n02097047	miniature_schnauzer.n.01	miniature schnauzer	miniature schnauzer
197	n02097130	giant_schnauzer.n.01	giant schnauzer	giant schnauzer
198	n02097209	standard_schnauzer.n.01	standard schnauzer	standard schnauzer
199	n02097298	scotch_terrier.n.01	Scotch terrier	Scotch terrier, Scottish terrier, Scottie
200	n02097474	tibetan_terrier.n.01	Tibetan terrier	Tibetan terrier, chrysanthemum dog
201	n02097658	silky_terrier.n.01	silky terrier	silky terrier, Sydney silky
202	n02098105	soft-coated_wheaten_terrier.n.01	soft-coated wheaten terrier	soft-coated wheaten terrier
203	n02098286	west_highland_white_terrier.n.01	West Highland white terrier	West Highland white terrier
204	n02098413	lhasa.n.02	Lhasa	Lhasa, Lhasa apso
205	n02099267	flat-coated_retriever.n.01	flat-coated retriever	flat-coated retriever
206	n02099429	curly-coated_retriever.n.01	curly-coated retriever	curly-coated retriever
207	n02099601	golden_retriever.n.01	golden retriever	golden retriever
208	n02099712	labrador_retriever.n.01	Labrador retriever	Labrador retriever
209	n02099849	chesapeake_bay_retriever.n.01	Chesapeake Bay retriever	Chesapeake Bay retriever
210	n02100236	german_short-haired_pointer.n.01	German short-haired pointer	German short-haired pointer
211	n02100583	vizsla.n.01	vizsla	vizsla, Hungarian pointer
212	n02100735	english_setter.n.01	English setter	English setter
213	n02100877	irish_setter.n.01	Irish setter	Irish setter, red setter
214	n02101006	gordon_setter.n.01	Gordon setter	Gordon setter
215	n02101388	brittany_spaniel.n.01	Brittany spaniel	Brittany spaniel
216	n02101556	clumber.n.01	clumber	clumber, clumber spaniel
217	n02102040	english_springer.n.01	English springer	English springer, English springer spaniel
218	n02102177	welsh_springer_spaniel.n.01	Welsh springer spaniel	Welsh springer spaniel
219	n02102318	cocker_spaniel.n.01	cocker spaniel	cocker spaniel, English cocker spaniel, cocker
220	n02102480	sussex_spaniel.n.01	Sussex spaniel	Sussex spaniel
221	n02102973	irish_water_spaniel.n.01	Irish water spaniel	Irish water spaniel
222	n02104029	kuvasz.n.01	kuvasz	kuvasz
223	n02104365	schipperke.n.01	schipperke	schipperke
224	n02105056	groenendael.n.01	groenendael	groenendael
225	n02105162	malinois.n.01	malinois	malinois
226	n02105251	briard.n.01	briard	briard
227	n02105412	kelpie.n.02	kelpie	kelpie
228	n02105505	komondor.n.01	komondor	komondor
229	n02105641	old_english_sheepdog.n.01	Old English sheepdog	Old English sheepdog, bobtail
230	n02105855	shetland_sheepdog.n.01	Shetland sheepdog	Shetland sheepdog, Shetland sheep dog, Shetland
231	n02106030	collie.n.01	collie	collie
232	n02106166	border_collie.n.01	Border collie	Border collie
233	n02106382	bouvier_des_flandres.n.01	Bouvier des Flandres	Bouvier des Flandres, Bouviers des Flandres
234	n02106550	rottweiler.n.01	Rottweiler	Rottweiler
235	n02106662	german_shepherd.n.01	German shepherd	German shepherd, German shepherd dog, German police dog, alsatian
236	n02107142	doberman.n.01	Doberman	Doberman, Doberman pinscher
237	n02107312	miniature_pinscher.n.01	miniature pinscher	miniature pinscher
238	n02107574	greater_swiss_mountain_dog.n.01	Greater Swiss Mountain dog	Greater Swiss Mountain dog
239	n02107683	bernese_mountain_dog.n.01	Bernese mountain dog	Bernese mountain dog
240	n02107908	appenzeller.n.01	Appenzeller	Appenzeller
241	n02108000	entlebucher.n.01	EntleBucher	EntleBucher
242	n02108089	boxer.n.04	boxer	boxer
243	n02108422	bull_mastiff.n.01	bull mastiff	bull mastiff
244	n02108551	tibetan_mastiff.n.01	Tibetan mastiff	Tibetan mastiff
245	n02108915	french_bulldog.n.01	French bulldog	French bulldog
246	n02109047	great_dane.n.01	Great Dane	Great Dane
247	n02109525	saint_bernard.n.01	Saint Bernard	Saint Bernard, St Bernard
248	n02109961	eskimo_dog.n.01	Eskimo dog	Eskimo dog, husky
249	n02110063	malamute.n.01	malamute	malamute, malemute, Alaskan malamute
250	n02110185	siberian_husky.n.01	Siberian husky	Siberian husky
251	n02110341	dalmatian.n.02	dalmatian	dalmatian, coach dog, carriage dog
252	n02110627	affenpinscher.n.01	affenpinscher	affenpinscher, monkey pinscher, monkey dog
253	n02110806	basenji.n.01	basenji	basenji
254	n02110958	pug.n.01	pug	pug, pug-dog
255	n02111129	leonberg.n.01	Leonberg	Leonberg
256	n02111277	newfoundland.n.01	Newfoundland	Newfoundland, Newfoundland dog
257	n02111500	great_pyrenees.n.01	Great Pyrenees	Great Pyrenees
258	n02111889	samoyed.n.03	Samoyed	Samoyed, Samoyede
259	n02112018	pomeranian.n.01	Pomeranian	Pomeranian
260	n02112137	chow.n.03	chow	chow, chow chow
261	n02112350	keeshond.n.01	keeshond	keeshond
262	n02112706	brabancon_griffon.n.01	Brabancon griffon	Brabancon griffon
263	n02113023	pembroke.n.01	Pembroke	Pembroke, Pembroke Welsh corgi
264	n02113186	cardigan.n.02	Cardigan	Cardigan, Cardigan Welsh corgi
265	n02113624	toy_poodle.n.01	toy poodle	toy poodle
266	n02113712	miniature_poodle.n.01	miniature poodle	miniature poodle
267	n02113799	standard_poodle.n.01	standard poodle	standard poodle
268	n02113978	mexican_hairless.n.01	Mexican hairless	Mexican hairless
269	n02114367	timber_wolf.n.01	timber wolf	timber wolf, grey wolf, gray wolf, Canis lupus
270	n02114548	white_wolf.n.01	white wolf	white wolf, Arctic wolf, Canis lupus tundrarum
271	n02114712	red_wolf.n.01	red wolf	red wolf, maned wolf, Canis rufus, Canis niger
272	n02114855	coyote.n.01	coyote	coyote, prairie wolf, brush wolf, Canis latrans
273	n02115641	dingo.n.01	dingo	dingo, warrigal, warragal, Canis dingo
274	n02115913	dhole.n.01	dhole	dhole, Cuon alpinus
275	n02116738	african_hunting_dog.n.01	African hunting dog	African hunting dog, hyena dog, Cape hunting dog, Lycaon pictus
276	n02117135	hyena.n.01	hyena	hyena, hyaena
277	n02119022	red_fox.n.03	red fox	red fox, Vulpes vulpes
278	n02119789	kit_fox.n.01	kit fox	kit fox, Vulpes macrotis
279	n02120079	arctic_fox.n.01	Arctic fox	Arctic fox, white fox, Alopex lagopus
280	n02120505	grey_fox.n.01	grey fox	grey fox, gray fox, Urocyon cinereoargenteus
281	n02123045	tabby.n.01	tabby	tabby, tabby cat
282	n02123159	tiger_cat.n.02	tiger cat	tiger cat
283	n02123394	persian_cat.n.01	Persian cat	Persian cat
284	n02123597	siamese_cat.n.01	Siamese cat	Siamese cat, Siamese
285	n02124075	egyptian_cat.n.01	Egyptian cat	Egyptian cat
286	n02125311	cougar.n.01	cougar	cougar, puma, catamount, mountain lion, painter, panther, Felis concolor
287	n02127052	lynx.n.02	lynx	lynx, catamount
288	n02128385	leopard.n.02	leopard	leopard, Panthera pardus
289	n02128757	snow_leopard.n.01	snow leopard	snow leopard, ounce, Panthera uncia
290	n02128925	jaguar.n.01	jaguar	jaguar, panther, Panthera onca, Felis onca
291	n02129165	lion.n.01	lion	lion, king of beasts, Panthera leo
292	n02129604	tiger.n.02	tiger	tiger, Panthera tigris
293	n02130308	cheetah.n.01	cheetah	cheetah, chetah, Acinonyx jubatus
294	n02132136	brown_bear.n.01	brown bear	brown bear, bruin, Ursus arctos
295	n02133161	american_black_bear.n.01	American black bear	American black bear, black bear, Ursus americanus, Euarctos americanus
296	n02134084	ice_bear.n.01	ice bear	ice bear, polar bear, Ursus Maritimus, Thalarctos maritimus
297	n02134418	sloth_bear.n.01	sloth bear	sloth bear, Melursus ursinus, Ursus ursinus
298	n02137549	mongoose.n.01	mongoose	mongoose
299	n02138441	meerkat.n.01	meerkat	meerkat, mierkat
300	n02165105	tiger_beetle.n.01	tiger beetle	tiger beetle
301	n02165456	ladybug.n.01	ladybug	ladybug, ladybeetle, lady beetle, ladybird, ladybird beetle
302	n02167151	ground_beetle.n.01	ground beetle	ground beetle, carabid beetle
303	n02168699	long-horned_beetle.n.01	long-horned beetle	long-horned beetle, longicorn, longicorn beetle
304	n02169497	leaf_beetle.n.01	leaf beetle	leaf beetle, chrysomelid
305	n02172182	dung_beetle.n.01	dung beetle	dung beetle
306	n02174001	rhinoceros_beetle.n.01	rhinoceros beetle	rhinoceros beetle
307	n02177972	weevil.n.01	weevil	weevil
308	n02190166	fly.n.01	fly	fly
309	n02206856	bee.n.01	bee	bee
310	n02219486	ant.n.01	ant	ant, emmet, pismire
311	n02226429	grasshopper.n.01	grasshopper	grasshopper, hopper
312	n02229544	cricket.n.01	cricket	cricket
313	n02231487	walking_stick.n.02	walking stick	walking stick, walkingstick, stick insect
314	n02233338	cockroach.n.01	cockroach	cockroach, roach
315	n02236044	mantis.n.01	mantis	mantis, mantid
316	n02256656	cicada.n.01	cicada	cicada, cicala
317	n02259212	leafhopper.n.01	leafhopper	leafhopper
318	n02264363	lacewing.n.01	lacewing	lacewing, lacewing fly
319	n02268443	dragonfly.n.01	dragonfly	dragonfly, darning needle, devil's darning needle, sewing needle, snake feeder, snake doctor, mosquito hawk, skeeter hawk
320	n02268853	damselfly.n.01	damselfly	damselfly
321	n02276258	admiral.n.02	admiral	admiral
322	n02277742	ringlet.n.04	ringlet	ringlet, ringlet butterfly
323	n02279972	monarch.n.02	monarch	monarch, monarch butterfly, milkweed butterfly, Danaus plexippus
324	n02280649	cabbage_butterfly.n.01	cabbage butterfly	cabbage butterfly
325	n02281406	sulphur_butterfly.n.01	sulphur butterfly	sulphur butterfly, sulfur butterfly
326	n02281787	lycaenid.n.01	lycaenid	lycaenid, lycaenid butterfly
327	n02317335	starfish.n.01	starfish	starfish, sea star
328	n02319095	sea_urchin.n.01	sea urchin	sea urchin
329	n02321529	sea_cucumber.n.01	sea cucumber	sea cucumber, holothurian
330	n02325366	wood_rabbit.n.01	wood rabbit	wood rabbit, cottontail, cottontail rabbit
331	n02326432	hare.n.01	hare	hare
332	n02328150	angora.n.03	Angora	Angora, Angora rabbit
333	n02342885	hamster.n.01	hamster	hamster
334	n02346627	porcupine.n.01	porcupine	porcupine, hedgehog
335	n02356798	fox_squirrel.n.01	fox squirrel	fox squirrel, eastern fox squirrel, Sciurus niger
336	n02361337	marmot.n.01	marmot	marmot
337	n02363005	beaver.n.07	beaver	beaver
338	n02364673	guinea_pig.n.02	guinea pig	guinea pig, Cavia cobaya
339	n02389026	sorrel.n.05	sorrel	sorrel
340	n02391049	zebra.n.01	zebra	zebra
341	n02395406	hog.n.03	hog	hog, pig, grunter, squealer, Sus scrofa
342	n02396427	wild_boar.n.01	wild boar	wild boar, boar, Sus scrofa
343	n02397096	warthog.n.01	warthog	warthog
344	n02398521	hippopotamus.n.01	hippopotamus	hippopotamus, hippo, river horse, Hippopotamus amphibius
345	n02403003	ox.n.01	ox	ox
346	n02408429	water_buffalo.n.01	water buffalo	water buffalo, water ox, Asiatic buffalo, Bubalus bubalis
347	n02410509	bison.n.01	bison	bison
348	n02412080	ram.n.05	ram	ram, tup
349	n02415577	bighorn.n.02	bighorn	bighorn, bighorn sheep, cimarron, Rocky Mountain bighorn, Rocky Mountain sheep, Ovis canadensis
350	n02417914	ibex.n.01	ibex	ibex, Capra ibex
351	n02422106	hartebeest.n.01	hartebeest	hartebeest
352	n02422699	impala.n.01	impala	impala, Aepyceros melampus
353	n02423022	gazelle.n.01	gazelle	gazelle
354	n02437312	arabian_camel.n.01	Arabian camel	Arabian camel, dromedary, Camelus dromedarius
355	n02437616	llama.n.01	llama	llama
356	n02441942	weasel.n.02	weasel	weasel
357	n02442845	mink.n.03	mink	mink
358	n02443114	polecat.n.02	polecat	polecat, fitch, foulmart, foumart, Mustela putorius
359	n02443484	black-footed_ferret.n.01	black-footed ferret	black-footed ferret, ferret, Mustela nigripes
360	n02444819	otter.n.02	otter	otter
361	n02445715	skunk.n.04	skunk	skunk, polecat, wood pussy
362	n02447366	badger.n.02	badger	badger
363	n02454379	armadillo.n.01	armadillo	armadillo
364	n02457408	three-toed_sloth.n.01	three-toed sloth	three-toed sloth, ai, Bradypus tridactylus
365	n02480495	orangutan.n.01	orangutan	orangutan, orang, orangutang, Pongo pygmaeus
366	n02480855	gorilla.n.01	gorilla	gorilla, Gorilla gorilla
367	n02481823	chimpanzee.n.01	chimpanzee	chimpanzee, chimp, Pan troglodytes
368	n02483362	gibbon.n.02	gibbon	gibbon, Hylobates lar
369	n02483708	siamang.n.01	siamang	siamang, Hylobates syndactylus, Symphalangus syndactylus
370	n02484975	guenon.n.01	guenon	guenon, guenon monkey
371	n02486261	patas.n.01	patas	patas, hussar monkey, Erythrocebus patas
372	n02486410	baboon.n.01	baboon	baboon
373	n02487347	macaque.n.01	macaque	macaque
374	n02488291	langur.n.01	langur	langur
375	n02488702	colobus.n.01	colobus	colobus, colobus monkey
376	n02489166	proboscis_monkey.n.01	proboscis monkey	proboscis monkey, Nasalis larvatus
377	n02490219	marmoset.n.01	marmoset	marmoset
378	n02492035	capuchin.n.02	capuchin	capuchin, ringtail, Cebus capucinus
379	n02492660	howler_monkey.n.01	howler monkey	howler monkey, howler
380	n02493509	titi.n.03	titi	titi, titi monkey
381	n02493793	spider_monkey.n.01	spider monkey	spider monkey, Ateles geoffroyi
382	n02494079	squirrel_monkey.n.01	squirrel monkey	squirrel monkey, Saimiri sciureus
383	n02497673	madagascar_cat.n.01	Madagascar cat	Madagascar cat, ring-tailed lemur, Lemur catta
384	n02500267	indri.n.01	indri	indri, indris, Indri indri, Indri brevicaudatus
385	n02504013	indian_elephant.n.01	Indian elephant	Indian elephant, Elephas maximus
386	n02504458	african_elephant.n.01	African elephant	African elephant, Loxodonta africana
387	n02509815	lesser_panda.n.01	lesser panda	lesser panda, red panda, panda, bear cat, cat bear, Ailurus fulgens
388	n02510455	giant_panda.n.01	giant panda	giant panda, panda, panda bear, coon bear, Ailuropoda melanoleuca
389	n02514041	barracouta.n.01	barracouta	barracouta, snoek
390	n02526121	eel.n.02	eel	eel
